k,n,GPT-5.5,n_GPT-5.5,Claude Haiku 4.5,n_Claude Haiku 4.5,Gemini 3.6 Flash,n_Gemini 3.6 Flash,Grok 4.6,n_Grok 4.6,code
1,7,,0,,0,,0,,7,BTC
2,281,0.7166666666666665,22,0.5999999999999999,20,0.6625,24,0.6020930232558139,215,BTC
3,564,0.4675438596491228,114,0.4470334928229664,110,0.49050000000000005,170,0.4790196078431373,170,BTC
4,546,0.398584229390681,93,0.40195121951219515,205,0.3951596806387224,167,0.3191358024691358,81,BTC
5,594,0.42864008179959107,163,0.3896630975556997,184,0.37568822553897174,201,0.2132608695652174,46,BTC
6,269,0.40806362949220093,99,0.3340650083196416,73,0.22538194444444448,96,,1,BTC
7,166,0.374375,80,0.30185897435897435,40,0.2465942028985507,46,,0,BTC
8,102,0.31873574561403506,80,,8,0.20309523809523808,14,,0,BTC
9,29,0.26958847736625513,27,,1,,1,,0,BTC
10,44,0.22217294900221735,41,,3,,0,,0,BTC
1,7,,0,,0,,0,,7,DOGE
2,281,0.0,22,0.0,20,0.0,24,0.0,215,DOGE
3,564,0.0,114,0.0,110,0.0,170,0.0023529411764705885,170,DOGE
4,546,0.0,93,0.0,205,0.0,167,0.01790123456790124,81,DOGE
5,594,0.0,163,0.0,184,0.0004975124378109454,201,0.002173913043478261,46,DOGE
6,269,0.0,99,0.0,73,0.0,96,,1,DOGE
7,166,0.0,80,0.0008333333333333324,40,0.0,46,,0,DOGE
8,102,0.00025,80,,8,0.0,14,,0,DOGE
9,29,0.001851851851851852,27,,1,,1,,0,DOGE
10,44,0.0012195121951219512,41,,3,,0,,0,DOGE
1,7,,0,,0,,0,,7,SOL
2,281,0.0,22,0.0,20,0.0,24,0.0,215,SOL
3,564,0.0030701754385964917,114,0.0027272727272727275,110,0.023333333333333334,170,0.156078431372549,170,SOL
4,546,0.019283154121863797,93,0.11053658536585365,205,0.1128942115768463,167,0.2340534979423868,81,SOL
5,594,0.09817995910020448,163,0.11872985615401255,184,0.16884742951907128,201,0.25800724637681166,46,SOL
6,269,0.11558166701023843,99,0.1334258784460235,73,0.24336805555555552,96,,1,SOL
7,166,0.1313035714285714,80,0.15042948717948718,40,0.225,46,,0,SOL
8,102,0.141827850877193,80,,8,0.2269047619047619,14,,0,SOL
9,29,0.15376543209876545,27,,1,,1,,0,SOL
10,44,0.15441241685144122,41,,3,,0,,0,SOL
