code,focal,other,diff,rank,model,scenario,n_products
USDC,0.089195642095503,0.057210125685962114,0.031985516409540886,1,GPT-5.5,tokens,47
LINK,0.05660013509078103,0.027599774356825358,0.029000360733955673,2,GPT-5.5,tokens,47
AAVE,0.016318921004260915,0.00012214551248008494,0.01619677549178083,3,GPT-5.5,tokens,47
XCHF,0.01613351877607789,0.0,0.01613351877607789,4,GPT-5.5,tokens,47
PAXG,0.017963606861381546,0.0035315985130111526,0.014432008348370393,5,GPT-5.5,tokens,47
ARB,0.009910309131449602,0.0010518769538289238,0.008858432177620678,6,GPT-5.5,tokens,47
AVAX,0.017706440522852203,0.011569563193026237,0.006136877329825966,7,GPT-5.5,tokens,47
RENDER,0.01698177488438084,0.011662683660824924,0.005319091223555917,8,GPT-5.5,tokens,47
UNI,0.0037124674120501654,0.000887040616394501,0.0028254267956556644,9,GPT-5.5,tokens,47
BNB,0.002587091860388105,0.00026553372278279334,0.0023215581376053117,10,GPT-5.5,tokens,47
INJ,0.0022756172895254953,0.0005310674455655868,0.0017445498439599087,11,GPT-5.5,tokens,47
ONDO,0.0015359546715230776,0.00010621348911311737,0.0014297411824099602,12,GPT-5.5,tokens,47
TIA,0.0014063092679226193,3.540449637103908e-05,0.0013709047715515803,13,GPT-5.5,tokens,47
DAI,0.0015299026425591093,0.0002655337227827934,0.001264368919776316,14,GPT-5.5,tokens,47
EURC,0.0009561891515994437,0.0,0.0009561891515994437,15,GPT-5.5,tokens,47
VCHF,0.0004172461752433936,0.0,0.0004172461752433936,16,GPT-5.5,tokens,47
PYUSD,0.0004172461752433935,0.0,0.0004172461752433935,17,GPT-5.5,tokens,47
OP,0.000856794650257793,0.0005795157743844604,0.00027727887587333257,18,GPT-5.5,tokens,47
PENDLE,0.00026752223205630697,5.310674455655868e-05,0.00021441548749974828,19,GPT-5.5,tokens,47
MKR,0.00016816285244657982,0.0,0.00016816285244657982,20,GPT-5.5,tokens,47
TON,0.000152990264255911,0.0,0.000152990264255911,21,GPT-5.5,tokens,47
IMX,0.00012169680111265647,0.0,0.00012169680111265647,22,GPT-5.5,tokens,47
ATOM,0.00016960284345541628,8.715823890766199e-05,8.244460454775429e-05,23,GPT-5.5,tokens,47
LDO,2.7816411682892907e-05,0.0,2.7816411682892907e-05,24,GPT-5.5,tokens,47
KAS,0.0,3.983005841741901e-05,-3.983005841741901e-05,25,GPT-5.5,tokens,47
SHIB,0.0,5.310674455655868e-05,-5.310674455655868e-05,26,GPT-5.5,tokens,47
JUP,0.0,8.851124092759777e-05,-8.851124092759777e-05,27,GPT-5.5,tokens,47
APT,0.0,0.00010621348911311737,-0.00010621348911311737,28,GPT-5.5,tokens,47
LTC,0.0,0.00019649495485926714,-0.00019649495485926714,29,GPT-5.5,tokens,47
BONK,0.0,0.00021242697822623473,-0.00021242697822623473,30,GPT-5.5,tokens,47
POL,0.0038448620059985043,0.004209431746240358,-0.00036456974024185384,31,GPT-5.5,tokens,47
FET,0.0,0.0004230837316339175,-0.0004230837316339175,32,GPT-5.5,tokens,47
XMR,0.0,0.0005361252307614494,-0.0005361252307614494,33,GPT-5.5,tokens,47
XRP,0.0,0.0005956806514427332,-0.0005956806514427332,34,GPT-5.5,tokens,47
DOGE,0.00016689847009735746,0.0011215638671825605,-0.000954665397085203,35,GPT-5.5,tokens,47
WIF,0.0,0.0018206762258806868,-0.0018206762258806868,36,GPT-5.5,tokens,47
NEAR,0.0022843525659937336,0.004221543636041778,-0.0019371910700480442,37,GPT-5.5,tokens,47
