model,attribute,value,n_responses,n_products,GI_amount,GI_freq,GI_amount_own,top_exchange,top_share
Claude Haiku 4.5,budget,100,79,8,0.9027004219409281,0.8803921568627451,0.635126582278481,Kraken,0.41645569620253164
Claude Haiku 4.5,budget,1000,80,7,0.8980416666666667,0.8718676122931442,0.5630357142857142,Kraken,0.41374999999999995
Claude Haiku 4.5,budget,10000,80,8,0.8915416666666666,0.859235668789809,0.59328125,Kraken,0.396875
Claude Haiku 4.5,budget,20000,80,9,0.900375,0.8762452107279693,0.6679166666666666,Kraken,0.396875
Claude Haiku 4.5,budget,30000,78,8,0.891082621082621,0.8656286043829297,0.5915598290598292,Kraken,0.3786324786324787
Claude Haiku 4.5,budget,40000,79,9,0.8807594936708859,0.8468328141225338,0.6025316455696202,Kraken,0.3658227848101266
Claude Haiku 4.5,budget,50000,79,9,0.8803459915611814,0.849896480331263,0.6011533052039382,Kraken,0.36101265822784817
Claude Haiku 4.5,budget,100000,79,9,0.8936286919831224,0.8594771241830066,0.6454289732770745,Kraken,0.3962025316455696
Claude Haiku 4.5,risk,risk-averse,179,5,0.9011960354977115,0.8783521809369952,0.4071762129862688,Kraken,0.4008743119078315
Claude Haiku 4.5,risk,risk-neutral,178,11,0.8966754004972778,0.8696517412935323,0.718205637719848,Kraken,0.3805101816007303
Claude Haiku 4.5,risk,risk-seeking,176,14,0.8643360916588859,0.8183844011142062,0.7092916249833268,Kraken,0.3597086675579323
Claude Haiku 4.5,term,less than one year,170,8,0.883764611244196,0.8573894282632146,0.5641172921657351,Kraken,0.37935147724248075
Claude Haiku 4.5,term,one to three years,174,14,0.8893422733077907,0.8555894308943089,0.7628762999452655,Kraken,0.387404214559387
Claude Haiku 4.5,term,three to ten years,178,11,0.8932328339575529,0.8615009746588694,0.7088168198842356,Kraken,0.3853598180845372
Claude Haiku 4.5,environment,crisis,133,6,0.9010933683414886,0.8753138075313808,0.5054668417074433,Kraken,0.4035123523093448
Claude Haiku 4.5,environment,recession,139,10,0.8954439048201214,0.8671215074723847,0.6863317144603645,Kraken,0.3893446587268001
Claude Haiku 4.5,environment,recovery,143,10,0.8874602434602434,0.857037037037037,0.6623807303807304,Kraken,0.3815967365967366
Claude Haiku 4.5,environment,expansion,143,11,0.8797205387205388,0.848161543098252,0.6719651056014693,Kraken,0.36688311688311687
GPT-5.5,budget,100,80,8,0.9348333333333335,0.9026246719160105,0.7556249999999999,Kraken,0.7556249999999999
GPT-5.5,budget,1000,80,7,0.8940416666666667,0.8625942684766215,0.5458928571428572,Kraken,0.5181250000000001
GPT-5.5,budget,10000,80,7,0.8804166666666666,0.8487005649717514,0.4875,Kraken,0.39625
GPT-5.5,budget,20000,80,9,0.8786875,0.8521252796420582,0.5956250000000001,Kraken,0.38312500000000005
GPT-5.5,budget,30000,80,8,0.8837361111111112,0.8538631346578367,0.5640104166666667,Kraken,0.39583333333333337
GPT-5.5,budget,40000,80,8,0.8821458333333334,0.8529032258064516,0.5580468749999999,Kraken,0.3925
GPT-5.5,budget,50000,80,9,0.8802083333333335,0.8513157894736842,0.6006944444444445,Kraken,0.3787500000000001
GPT-5.5,budget,100000,80,8,0.8767499999999999,0.849948717948718,0.5378125,Kraken,0.35562499999999997
GPT-5.5,risk,risk-averse,180,10,0.903391975308642,0.8730700179533214,0.7101759259259259,Swissquote,0.4326388888888889
GPT-5.5,risk,risk-neutral,180,11,0.8882530864197532,0.8451874366767984,0.6952356902356902,Kraken,0.4620370370370371
GPT-5.5,risk,risk-seeking,180,14,0.8792407407407407,0.8260299625468165,0.7412301587301587,Kraken,0.43227513227513226
GPT-5.5,term,less than one year,180,13,0.8707870370370372,0.8326018808777429,0.7018162393162395,Kraken,0.4123148148148149
GPT-5.5,term,one to three years,180,11,0.881238095238095,0.8414685684099313,0.6761038961038961,Kraken,0.42661375661375656
GPT-5.5,term,three to ten years,180,13,0.8860374779541448,0.8448349307774228,0.7370095645095646,Kraken,0.4507804232804233
GPT-5.5,environment,crisis,144,12,0.8804359567901232,0.8449275362318841,0.7010898919753087,Kraken,0.4045138888888889
GPT-5.5,environment,recession,144,14,0.8839197530864198,0.8452617627567925,0.7512566137566136,Kraken,0.4325231481481481
GPT-5.5,environment,recovery,144,10,0.8747106481481481,0.8330798479087452,0.6241319444444444,Kraken,0.4252314814814815
GPT-5.5,environment,expansion,144,12,0.8680880731922398,0.8238993710691824,0.6702201829805996,Kraken,0.41198743386243386
Gemini 3.6 Flash,budget,100,80,10,0.8834166666666666,0.8447322970639033,0.6502500000000001,Kraken,0.54375
Gemini 3.6 Flash,budget,1000,80,10,0.852875,0.8279279279279279,0.558625,Kraken,0.429375
Gemini 3.6 Flash,budget,10000,80,12,0.8326666666666667,0.8129411764705883,0.5816666666666668,Kraken,0.366875
Gemini 3.6 Flash,budget,20000,80,11,0.8425833333333335,0.8170483460559796,0.5706818181818182,Kraken,0.37
Gemini 3.6 Flash,budget,30000,80,11,0.8454722222222223,0.8190661478599222,0.578560606060606,Kraken,0.37
Gemini 3.6 Flash,budget,40000,80,13,0.8424583333333334,0.8181467181467181,0.6364423076923078,Kraken,0.37
Gemini 3.6 Flash,budget,50000,80,12,0.8333333333333333,0.8013333333333333,0.5833333333333331,Kraken,0.345
Gemini 3.6 Flash,budget,100000,80,11,0.8374166666666665,0.8050925925925926,0.5565909090909091,Kraken,0.33375
Gemini 3.6 Flash,risk,risk-averse,180,11,0.8874012345679012,0.871663504111322,0.6929124579124579,Kraken,0.3713888888888889
Gemini 3.6 Flash,risk,risk-neutral,180,10,0.8780740740740741,0.8440094899169632,0.6342222222222221,Kraken,0.45865740740740735
Gemini 3.6 Flash,risk,risk-seeking,180,14,0.8796672839506172,0.8438923395445135,0.7421441798941799,Binance,0.38680555555555557
Gemini 3.6 Flash,term,less than one year,180,14,0.8222222222222221,0.7888888888888889,0.619047619047619,Kraken,0.355324074074074
Gemini 3.6 Flash,term,one to three years,180,17,0.8450574074074075,0.8076207097149506,0.7265718954248368,Kraken,0.3850462962962964
Gemini 3.6 Flash,term,three to ten years,180,14,0.8534265432098767,0.815875805506737,0.6859140211640211,Kraken,0.4111111111111111
Gemini 3.6 Flash,environment,crisis,144,16,0.8563618827160494,0.8230994152046783,0.7306785300925926,Kraken,0.3813657407407407
Gemini 3.6 Flash,environment,recession,144,14,0.8367237654320989,0.7969432314410481,0.6501223544973544,Kraken,0.3874421296296296
Gemini 3.6 Flash,environment,recovery,144,13,0.8325794753086421,0.79985935302391,0.613644943019943,Kraken,0.35734953703703703
Gemini 3.6 Flash,environment,expansion,144,14,0.8312770061728394,0.7975334742776603,0.6384507275132274,Kraken,0.3416666666666666
Grok 4.6,budget,100,78,10,0.8916239316239316,0.8773584905660378,0.6748717948717948,Kraken,0.45769230769230773
Grok 4.6,budget,1000,80,10,0.8986249999999998,0.8791090629800308,0.695875,Kraken,0.45437500000000003
Grok 4.6,budget,10000,80,11,0.8818333333333334,0.8633608815426997,0.6777272727272727,Kraken,0.41875
Grok 4.6,budget,20000,79,10,0.8768354430379747,0.8586206896551725,0.6305063291139241,Kraken,0.41455696202531656
Grok 4.6,budget,30000,80,10,0.8856111111111111,0.8674140508221225,0.6568333333333334,Kraken,0.4325
Grok 4.6,budget,40000,77,10,0.8906060606060605,0.8731523378582202,0.6718181818181818,Kraken,0.44642857142857145
Grok 4.6,budget,50000,80,9,0.8781666666666667,0.8607843137254902,0.5938888888888888,Kraken,0.4175
Grok 4.6,budget,100000,79,9,0.8707172995780589,0.8539869281045752,0.5690576652601969,Kraken,0.3848101265822785
Grok 4.6,risk,risk-averse,174,8,0.8987292464878672,0.8859799713876967,0.6202346743295019,Kraken,0.3989942528735632
Grok 4.6,risk,risk-neutral,177,11,0.8968675455116133,0.8724691358024691,0.7187296695771273,Kraken,0.45588512241054613
Grok 4.6,risk,risk-seeking,176,13,0.8684059343434344,0.8359570661896243,0.696321386946387,Binance,0.3405776515151515
Grok 4.6,term,less than one year,173,16,0.8629736673089276,0.8347517730496454,0.743075626204239,Kraken,0.39657996146435454
Grok 4.6,term,one to three years,177,13,0.8816760828625235,0.8596692111959288,0.7269448066058235,Kraken,0.4226930320150659
Grok 4.6,term,three to ten years,176,14,0.8821180555555553,0.8590225563909775,0.7473958333333333,Kraken,0.4188446969696969
Grok 4.6,environment,crisis,136,12,0.8784722222222222,0.8553349875930522,0.6961805555555552,Kraken,0.41133578431372536
Grok 4.6,environment,recession,142,14,0.881686228482003,0.8596747967479674,0.7464704896042924,Kraken,0.42499999999999993
Grok 4.6,environment,recovery,143,14,0.8738189588189589,0.8495041952707857,0.7296120546120548,Kraken,0.4101398601398602
Grok 4.6,environment,expansion,142,14,0.870402973395931,0.843531202435312,0.7222920858484237,Kraken,0.3884976525821596
