model,product,code,category,tier,n_mentions,n_responses,amount_share,freq_share
Claude Haiku 4.5,Kraken,KRAKEN,US-listed CEX,US regulated,695,695,0.385934375518554,0.2666922486569455
Claude Haiku 4.5,Coinbase,COINBASE,US-listed CEX,US regulated,694,694,0.3062860516296115,0.26630851880276285
Claude Haiku 4.5,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,576,576,0.165450626537087,0.2210283960092095
Claude Haiku 4.5,Gemini,GEMINI,US-listed CEX,US regulated,432,432,0.08821214442157647,0.16577129700690713
Claude Haiku 4.5,Binance,BINANCE,Global CEX,Global / offshore,74,74,0.030861485398757202,0.0283960092095165
Claude Haiku 4.5,Bybit,BYBIT,Global CEX,Global / offshore,72,72,0.014155458160275605,0.02762854950115119
Claude Haiku 4.5,OKX,OKX,Global CEX,Global / offshore,30,30,0.004391319746289321,0.011511895625479662
Claude Haiku 4.5,KuCoin,KUCOIN,Global CEX,Global / offshore,12,12,0.001896551724137931,0.004604758250191865
Claude Haiku 4.5,Crypto.com,CRYPTOCOM,Global CEX,Global / offshore,6,6,0.0009578544061302681,0.0023023791250959325
Claude Haiku 4.5,Gate.io,GATEIO,Global CEX,Global / offshore,5,5,0.0005767651888341543,0.001918649270913277
Claude Haiku 4.5,Bull Bitcoin,BULLBTC,Non-custodial/brokerage,Non-custodial,1,1,0.00014367816091954023,0.0003837298541826554
Claude Haiku 4.5,Deribit,DERIBIT,Derivatives venue,Global / offshore,1,1,9.195402298850575e-05,0.0003837298541826554
Claude Haiku 4.5,FTX,FTX,Defunct,Defunct / failed,1,1,0.00023946360153256704,0.0003837298541826554
Claude Haiku 4.5,HTX,HTX,Global CEX,Global / offshore,1,1,5.1313628899835795e-05,0.0003837298541826554
Claude Haiku 4.5,Hyperliquid,HYPERLIQUID,On-chain / DEX,Non-custodial,1,1,8.045977011494253e-05,0.0003837298541826554
Claude Haiku 4.5,Luno,LUNO,EU-regulated CEX,EU regulated,1,1,0.00014367816091954025,0.0003837298541826554
Claude Haiku 4.5,Nexo,NEXO,CeFi lending,Global / offshore,1,1,0.00014367816091954023,0.0003837298541826554
Claude Haiku 4.5,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,1,1,0.00014367816091954023,0.0003837298541826554
Claude Haiku 4.5,Upbit,UPBIT,Global CEX,Global / offshore,1,1,0.00014367816091954023,0.0003837298541826554
Claude Haiku 4.5,Uphold,UPHOLD,EU-regulated CEX,EU regulated,1,1,9.578544061302682e-05,0.0003837298541826554
GPT-5.5,Kraken,KRAKEN,US-listed CEX,US regulated,712,712,0.4278296575932181,0.27834245504300237
GPT-5.5,Coinbase,COINBASE,US-listed CEX,US regulated,627,627,0.21319954963904894,0.245113369820172
GPT-5.5,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,399,399,0.07883634677793232,0.15598123534010946
GPT-5.5,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,368,368,0.17574177097821048,0.14386239249413604
GPT-5.5,Binance,BINANCE,Global CEX,Global / offshore,215,215,0.05820087423008146,0.08405003909304144
GPT-5.5,SwissBorg,SWISSBORG,Swiss bank/broker,Swiss regulated,74,74,0.013630041724617525,0.028928850664581705
GPT-5.5,Gemini,GEMINI,US-listed CEX,US regulated,56,56,0.013398238293926749,0.0218921032056294
GPT-5.5,Bitpanda,BITPANDA,EU-regulated CEX,EU regulated,43,43,0.008750579508576727,0.016810007818608287
GPT-5.5,OKX,OKX,Global CEX,Global / offshore,28,28,0.005139413206172594,0.0109460516028147
GPT-5.5,Bybit,BYBIT,Global CEX,Global / offshore,21,21,0.0022683621431882905,0.008209538702111024
GPT-5.5,KuCoin,KUCOIN,Global CEX,Global / offshore,5,5,0.0005795085767269356,0.001954652071931196
GPT-5.5,Bitcoin Suisse,BTCSUISSE,Swiss bank/broker,Swiss regulated,4,4,0.0010083449235048678,0.001563721657544957
GPT-5.5,Sygnum,SYGNUM,Swiss bank/broker,Swiss regulated,3,3,0.0011821974965229485,0.0011727912431587178
GPT-5.5,Binance.US,BINANCEUS,US-listed CEX,US regulated,1,1,9.272137227630968e-05,0.00039093041438623924
GPT-5.5,Crypto.com,CRYPTOCOM,Global CEX,Global / offshore,1,1,9.272137227630968e-05,0.00039093041438623924
GPT-5.5,Gate.io,GATEIO,Global CEX,Global / offshore,1,1,4.967216371945162e-05,0.00039093041438623924
Gemini 3.6 Flash,Kraken,KRAKEN,US-listed CEX,US regulated,673,673,0.36963375057950854,0.2903364969801553
Gemini 3.6 Flash,Coinbase,COINBASE,US-listed CEX,US regulated,449,449,0.16394297635605007,0.19370146678170838
Gemini 3.6 Flash,Binance,BINANCE,Global CEX,Global / offshore,290,290,0.13667130273528047,0.12510785159620363
