response_id,response_uid,model,condition,status,n_products,n_chars,n_unparsed_amounts,n_ranges,n_loose_amounts,mixed_units,amount_kind,unit_basis,pct_sum,budget_chf,amount_sum_chf,written_currency,non_chf_currency,flat_full_budget,budget_utilisation
0,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|4,Claude Haiku 4.5,exchanges-general-term_environment,valid,4,60,0,0,0,False,currency,reported,,,20000.0,USD,True,False,
1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|7,Claude Haiku 4.5,exchanges-general-term_environment,valid,4,114,0,0,0,False,currency,reported,,,100000.0,USD,True,False,
2,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|8,Claude Haiku 4.5,exchanges-general-term_environment,valid,4,143,0,0,0,False,currency,reported,,,100000.0,USD,True,False,
3,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|6,Claude Haiku 4.5,exchanges-general-term_environment,refusal,0,571,0,0,0,False,none,none,,,,,False,False,
4,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|9,Claude Haiku 4.5,exchanges-general-term_environment,valid,5,122,0,0,0,False,currency,reported,,,100000.0,USD,True,False,
5,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|2,Claude Haiku 4.5,exchanges-general-term_environment,refusal,0,755,0,0,0,False,none,none,,,,,False,False,
6,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|10,Claude Haiku 4.5,exchanges-general-term_environment,valid,4,137,0,0,0,False,currency,reported,,,0.9999999999999999,USD,True,False,
7,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|12,Claude Haiku 4.5,exchanges-general-term_environment,valid,5,57,5,0,0,False,none,none,,,,,False,False,
8,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|2,Claude Haiku 4.5,exchanges-general-risk,valid,5,57,5,0,0,False,none,none,,,,,False,False,
9,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|1,Claude Haiku 4.5,exchanges-general-term_environment,refusal,0,1093,0,0,0,False,none,none,,,,,False,False,
10,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|1,Claude Haiku 4.5,exchanges-general-risk,valid,4,153,4,0,0,False,none,none,,,,,False,False,
11,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|1,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,48,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
12,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|11,Claude Haiku 4.5,exchanges-general-term_environment,refusal,0,1038,0,0,0,False,none,none,,,,,False,False,
13,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,Claude Haiku 4.5,exchanges-general-risk,valid,7,196,0,0,0,False,currency,reported,,,125000.0,USD,True,False,
14,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|3,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,48,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
15,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|2,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,48,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
16,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|4,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,71,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
17,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|5,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,63,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
18,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|6,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,63,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
19,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|10,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,51,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
20,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|7,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,51,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
21,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|11,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,51,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
22,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,63,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
23,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|8,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,47,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
24,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|12,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,51,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
25,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|13,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,67,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
26,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|17,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,61,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
27,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|15,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,67,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
28,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|18,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,67,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
29,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|16,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,65,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
30,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|14,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,67,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
31,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|21,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,3,52,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
32,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|19,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,75,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
33,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|20,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,71,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
34,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|24,Claude Haiku 4.5,exchanges-general-budget_risk_term,valid,4,71,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
