model,attribute,value,n_responses,amount_Swiss regulated,freq_Swiss regulated,amount_EU regulated,freq_EU regulated,amount_US regulated,freq_US regulated,amount_Global / offshore,freq_Global / offshore,amount_Non-custodial,freq_Non-custodial,amount_Defunct / failed,freq_Defunct / failed
Claude Haiku 4.5,budget,100,79,0.0012658227848101266,0.00392156862745098,0.18227848101265823,0.25098039215686274,0.7689873417721519,0.6862745098039216,0.04746835443037975,0.058823529411764705,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,1000,80,0.0,0.0,0.18375000000000002,0.23404255319148937,0.778125,0.7198581560283688,0.038125,0.04609929078014184,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,10000,80,0.0,0.0,0.16687500000000002,0.22611464968152867,0.785,0.7038216560509554,0.048125,0.07006369426751592,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,20000,80,0.0,0.0,0.200625,0.2567049808429119,0.764375,0.6743295019157088,0.034999999999999996,0.06896551724137931,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,30000,78,0.0,0.0,0.1675213675213675,0.22491349480968859,0.7893162393162394,0.7231833910034602,0.041025641025641026,0.04844290657439446,0.0,0.0,0.0021367521367521365,0.0034602076124567475
Claude Haiku 4.5,budget,40000,79,0.0,0.0,0.16170886075949367,0.2087227414330218,0.7768987341772152,0.6915887850467289,0.06139240506329113,0.09968847352024922,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,50000,79,0.0,0.0,0.17088607594936708,0.2204968944099379,0.769240506329114,0.6925465838509317,0.059873417721518996,0.08695652173913043,0.0,0.0,0.0,0.0
Claude Haiku 4.5,budget,100000,79,0.0,0.0,0.14746835443037976,0.21895424836601307,0.8151898734177216,0.7254901960784313,0.03734177215189874,0.05555555555555555,0.0,0.0,0.0,0.0
Claude Haiku 4.5,risk,risk-averse,179,0.0,0.0,0.15980467391081915,0.2310177705977383,0.8396366668713038,0.7673667205169629,0.0,0.0,0.000558659217877095,0.0016155088852988692,0.0,0.0
Claude Haiku 4.5,risk,risk-neutral,178,0.0,0.0,0.19709619802977368,0.2626865671641791,0.8001884461649827,0.7283582089552239,0.002715355805243446,0.008955223880597015,0.0,0.0,0.0,0.0
Claude Haiku 4.5,risk,risk-seeking,176,0.0,0.0,0.11268939393939395,0.14066852367688024,0.6836590431627196,0.5919220055710307,0.20238641138273492,0.2646239554317549,0.0003181818181818182,0.001392757660167131,0.0009469696969696969,0.001392757660167131
Claude Haiku 4.5,term,less than one year,170,0.0,0.0,0.14781674208144796,0.19579288025889968,0.758808978795138,0.686084142394822,0.09337427912341408,0.11812297734627832,0.0,0.0,0.0,0.0
Claude Haiku 4.5,term,one to three years,174,0.0005747126436781609,0.001524390243902439,0.16489463601532567,0.22408536585365854,0.7895881226053639,0.7012195121951219,0.043409961685823756,0.0701219512195122,0.0005747126436781609,0.001524390243902439,0.0009578544061302681,0.001524390243902439
Claude Haiku 4.5,term,three to ten years,178,0.0,0.0,0.184169341894061,0.24269005847953215,0.7923060460139111,0.7134502923976608,0.023524612092027827,0.043859649122807015,0.0,0.0,0.0,0.0
Claude Haiku 4.5,environment,crisis,133,0.0,0.0,0.17776584317937702,0.24686192468619247,0.8173469387755102,0.7468619246861925,0.004887218045112782,0.006276150627615063,0.0,0.0,0.0,0.0
Claude Haiku 4.5,environment,recession,139,0.0,0.0,0.182903593091913,0.24171539961013644,0.7967127138625234,0.723196881091618,0.019664268585131896,0.03313840155945419,0.0007194244604316547,0.001949317738791423,0.0,0.0
Claude Haiku 4.5,environment,recovery,143,0.0,0.0,0.1575757575757576,0.21296296296296297,0.7743123543123543,0.6925925925925925,0.06811188811188812,0.09444444444444444,0.0,0.0,0.0,0.0
Claude Haiku 4.5,environment,expansion,143,0.0,0.0,0.15768398268398268,0.20614828209764918,0.754022644022644,0.674502712477396,0.08829337329337329,0.11934900542495479,0.0,0.0,0.0,0.0
GPT-5.5,budget,100,80,0.12375,0.11023622047244094,0.013750000000000002,0.047244094488188976,0.8225,0.7559055118110236,0.04,0.08661417322834646,0.0,0.0,0.0,0.0
GPT-5.5,budget,1000,80,0.190625,0.17194570135746606,0.06937499999999999,0.14479638009049775,0.686875,0.6153846153846154,0.053125,0.06787330316742081,0.0,0.0,0.0,0.0
GPT-5.5,budget,10000,80,0.210625,0.20677966101694914,0.10375000000000001,0.1864406779661017,0.63375,0.5389830508474577,0.051875000000000004,0.06779661016949153,0.0,0.0,0.0,0.0
GPT-5.5,budget,20000,80,0.2503125,0.2181208053691275,0.09375,0.174496644295302,0.5975,0.5335570469798657,0.058437499999999996,0.0738255033557047,0.0,0.0,0.0,0.0
GPT-5.5,budget,30000,80,0.21416666666666667,0.2119205298013245,0.11000000000000001,0.19205298013245034,0.624375,0.5165562913907285,0.05145833333333333,0.07947019867549669,0.0,0.0,0.0,0.0
GPT-5.5,budget,40000,80,0.238125,0.2161290322580645,0.104375,0.1967741935483871,0.6100000000000001,0.5129032258064516,0.0475,0.07419354838709677,0.0,0.0,0.0,0.0
GPT-5.5,budget,50000,80,0.240625,0.21710526315789475,0.103125,0.19407894736842105,0.609375,0.5164473684210527,0.046875,0.07236842105263158,0.0,0.0,0.0,0.0
GPT-5.5,budget,100000,80,0.2534375,0.2276923076923077,0.11281250000000001,0.20923076923076922,0.583125,0.48923076923076925,0.050624999999999996,0.07384615384615385,0.0,0.0,0.0,0.0
GPT-5.5,risk,risk-averse,180,0.4423611111111111,0.2710951526032316,0.04393518518518519,0.12387791741472172,0.5133333333333334,0.6032315978456014,0.00037037037037037035,0.0017953321364452424,0.0,0.0,0.0,0.0
GPT-5.5,risk,risk-neutral,180,0.12555555555555556,0.1702127659574468,0.12254629629629629,0.2127659574468085,0.7230555555555556,0.5501519756838906,0.02884259259259259,0.0668693009118541,0.0,0.0,0.0,0.0
GPT-5.5,risk,risk-seeking,180,0.061759259259259264,0.11376404494382023,0.06805555555555555,0.12359550561797752,0.653425925925926,0.4859550561797753,0.21675925925925926,0.27668539325842695,0.0,0.0,0.0,0.0
GPT-5.5,term,less than one year,180,0.20194444444444445,0.17398119122257052,0.08638888888888889,0.17084639498432602,0.6293055555555556,0.5391849529780565,0.08236111111111111,0.11598746081504702,0.0,0.0,0.0,0.0
GPT-5.5,term,one to three years,180,0.21333333333333332,0.1838351822503962,0.08467592592592593,0.17274167987321712,0.652612433862434,0.5530903328050714,0.049378306878306875,0.09033280507131537,0.0,0.0,0.0,0.0
GPT-5.5,term,three to ten years,180,0.18365740740740738,0.17891373801916932,0.08314814814814815,0.16773162939297126,0.6840013227513227,0.560702875399361,0.04919312169312169,0.0926517571884984,0.0,0.0,0.0,0.0
GPT-5.5,environment,crisis,144,0.20937499999999998,0.18525519848771266,0.10543981481481482,0.1890359168241966,0.6460069444444445,0.5406427221172023,0.03917824074074074,0.08506616257088846,0.0,0.0,0.0,0.0
GPT-5.5,environment,recession,144,0.20300925925925928,0.17296222664015903,0.09033564814814815,0.17892644135188868,0.6666087962962963,0.5606361829025845,0.040046296296296295,0.0874751491053678,0.0,0.0,0.0,0.0
GPT-5.5,environment,recovery,144,0.16875,0.17110266159695817,0.08333333333333333,0.16730038022813687,0.657349537037037,0.5399239543726235,0.09056712962962962,0.12167300380228137,0.0,0.0,0.0,0.0
GPT-5.5,environment,expansion,144,0.15734953703703705,0.15283018867924528,0.09074074074074073,0.17169811320754716,0.6399305555555556,0.5283018867924528,0.11197916666666667,0.1471698113207547,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,100,80,0.11291666666666667,0.15544041450777202,0.04666666666666667,0.07772020725388601,0.6170833333333333,0.49740932642487046,0.22333333333333333,0.2694300518134715,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,1000,80,0.21625,0.22072072072072071,0.035625000000000004,0.05855855855855856,0.535625,0.49099099099099097,0.2125,0.22972972972972974,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,10000,80,0.21187499999999998,0.19607843137254902,0.040625,0.06274509803921569,0.52125,0.5019607843137255,0.22625,0.23921568627450981,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,20000,80,0.23125,0.21374045801526717,0.036250000000000004,0.0648854961832061,0.52625,0.5038167938931297,0.20625,0.21755725190839695,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,30000,80,0.23041666666666666,0.20622568093385213,0.030416666666666665,0.054474708171206226,0.5320833333333334,0.5097276264591439,0.20708333333333334,0.22957198443579765,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,40000,80,0.22999999999999998,0.22393822393822393,0.038125000000000006,0.06177606177606178,0.5334375,0.5096525096525096,0.1984375,0.20463320463320464,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,budget,50000,80,0.22749999999999998,0.19636363636363635,0.045,0.06909090909090909,0.51,0.48727272727272725,0.21625,0.24363636363636362,0.00125,0.0036363636363636364,0.0,0.0
Gemini 3.6 Flash,budget,100000,80,0.203125,0.18055555555555555,0.058125,0.1111111111111111,0.53,0.4930555555555556,0.20875,0.2152777777777778,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,risk,risk-averse,180,0.36074074074074075,0.2808349146110057,0.026666666666666672,0.051233396584440226,0.6103703703703703,0.6641366223908919,0.0022222222222222222,0.003795066413662239,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,risk,risk-neutral,180,0.16157407407407406,0.19395017793594305,0.06273148148148147,0.10320284697508897,0.685787037037037,0.5854092526690391,0.08990740740740741,0.11743772241992882,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,risk,risk-seeking,180,0.014861111111111113,0.027950310559006212,0.0011111111111111111,0.0015527950310559005,0.22476851851851853,0.2360248447204969,0.7564814814814814,0.7282608695652174,0.0027777777777777783,0.006211180124223602,0.0,0.0
Gemini 3.6 Flash,term,less than one year,180,0.19268518518518515,0.17543859649122806,0.04069444444444444,0.06315789473684211,0.4700462962962963,0.4421052631578947,0.29657407407407405,0.3192982456140351,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,term,one to three years,180,0.1928703703703704,0.18324607329842932,0.02560185185185185,0.04886561954624782,0.56375,0.5200698080279232,0.21611111111111111,0.2443280977312391,0.001666666666666667,0.0034904013961605585,0.0,0.0
Gemini 3.6 Flash,term,three to ten years,180,0.1886574074074074,0.18804920913884007,0.03888888888888889,0.06854130052724078,0.6175925925925926,0.562390158172232,0.15486111111111112,0.18101933216168717,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,environment,crisis,144,0.1984375,0.17982456140350878,0.03854166666666667,0.06798245614035088,0.5975694444444444,0.5592105263157895,0.16197916666666667,0.18421052631578946,0.003472222222222223,0.008771929824561403,0.0,0.0
Gemini 3.6 Flash,environment,recession,144,0.19317129629629629,0.18777292576419213,0.04334490740740741,0.07860262008733625,0.5754050925925926,0.5240174672489083,0.18807870370370372,0.2096069868995633,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,environment,recovery,144,0.16944444444444443,0.16033755274261605,0.03836805555555556,0.05907172995780591,0.5159143518518519,0.4767932489451477,0.27627314814814813,0.3037974683544304,0.0,0.0,0.0,0.0
Gemini 3.6 Flash,environment,expansion,144,0.1585648148148148,0.1543340380549683,0.022106481481481484,0.03805496828752643,0.49137731481481484,0.4503171247357294,0.3279513888888889,0.3572938689217759,0.0,0.0,0.0,0.0
Grok 4.6,budget,100,78,0.043589743589743594,0.04716981132075472,0.08397435897435897,0.13679245283018868,0.742948717948718,0.6981132075471698,0.12948717948717947,0.1179245283018868,0.0,0.0,0.0,0.0
Grok 4.6,budget,1000,80,0.03,0.041474654377880185,0.068125,0.11981566820276497,0.7775000000000001,0.7188940092165899,0.12437499999999999,0.11981566820276497,0.0,0.0,0.0,0.0
Grok 4.6,budget,10000,80,0.06,0.06198347107438017,0.08625000000000001,0.1487603305785124,0.73125,0.6694214876033058,0.12250000000000001,0.11983471074380166,0.0,0.0,0.0,0.0
Grok 4.6,budget,20000,79,0.07848101265822785,0.08189655172413793,0.06518987341772152,0.11637931034482758,0.7265822784810126,0.6767241379310345,0.12974683544303797,0.125,0.0,0.0,0.0,0.0
