model,rank,product,code,category,tier,amount_share,freq_share
GPT-5.5,1,Kraken,KRAKEN,US-listed CEX,US regulated,0.4278296575932181,0.27834245504300237
GPT-5.5,2,Coinbase,COINBASE,US-listed CEX,US regulated,0.21319954963904894,0.245113369820172
GPT-5.5,3,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,0.17574177097821048,0.14386239249413604
GPT-5.5,4,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,0.07883634677793232,0.15598123534010946
GPT-5.5,5,Binance,BINANCE,Global CEX,Global / offshore,0.05820087423008146,0.08405003909304144
GPT-5.5,6,SwissBorg,SWISSBORG,Swiss bank/broker,Swiss regulated,0.013630041724617525,0.028928850664581705
GPT-5.5,7,Gemini,GEMINI,US-listed CEX,US regulated,0.013398238293926749,0.0218921032056294
GPT-5.5,8,Bitpanda,BITPANDA,EU-regulated CEX,EU regulated,0.008750579508576727,0.016810007818608287
GPT-5.5,9,OKX,OKX,Global CEX,Global / offshore,0.005139413206172594,0.0109460516028147
GPT-5.5,10,Bybit,BYBIT,Global CEX,Global / offshore,0.0022683621431882905,0.008209538702111024
GPT-5.5,11,Other (6 exchanges),,,,0.003005165905026823,0.005863956215793589
Claude Haiku 4.5,1,Kraken,KRAKEN,US-listed CEX,US regulated,0.385934375518554,0.2666922486569455
Claude Haiku 4.5,2,Coinbase,COINBASE,US-listed CEX,US regulated,0.3062860516296115,0.26630851880276285
Claude Haiku 4.5,3,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,0.165450626537087,0.2210283960092095
Claude Haiku 4.5,4,Gemini,GEMINI,US-listed CEX,US regulated,0.08821214442157647,0.16577129700690713
Claude Haiku 4.5,5,Binance,BINANCE,Global CEX,Global / offshore,0.030861485398757202,0.0283960092095165
Claude Haiku 4.5,6,Bybit,BYBIT,Global CEX,Global / offshore,0.014155458160275605,0.02762854950115119
Claude Haiku 4.5,7,OKX,OKX,Global CEX,Global / offshore,0.004391319746289321,0.011511895625479662
Claude Haiku 4.5,8,KuCoin,KUCOIN,Global CEX,Global / offshore,0.001896551724137931,0.004604758250191865
Claude Haiku 4.5,9,Crypto.com,CRYPTOCOM,Global CEX,Global / offshore,0.0009578544061302681,0.0023023791250959325
Claude Haiku 4.5,10,Gate.io,GATEIO,Global CEX,Global / offshore,0.0005767651888341543,0.001918649270913277
Claude Haiku 4.5,11,Other (10 exchanges),,,,0.001277367268746579,0.003837298541826554
Gemini 3.6 Flash,1,Kraken,KRAKEN,US-listed CEX,US regulated,0.36963375057950854,0.2903364969801553
Gemini 3.6 Flash,2,Coinbase,COINBASE,US-listed CEX,US regulated,0.16394297635605007,0.19370146678170838
Gemini 3.6 Flash,3,Binance,BINANCE,Global CEX,Global / offshore,0.13667130273528047,0.12510785159620363
Gemini 3.6 Flash,4,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,0.11238989337042189,0.08930112165660052
Gemini 3.6 Flash,5,Bybit,BYBIT,Global CEX,Global / offshore,0.06899629114510895,0.07506471095772217
Gemini 3.6 Flash,6,SwissBorg,SWISSBORG,Swiss bank/broker,Swiss regulated,0.06864858599907278,0.07937877480586712
Gemini 3.6 Flash,7,Bitpanda,BITPANDA,EU-regulated CEX,EU regulated,0.02593880389429764,0.04141501294219154
Gemini 3.6 Flash,8,OKX,OKX,Global CEX,Global / offshore,0.017176634214186373,0.03364969801553063
Gemini 3.6 Flash,9,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,0.011984237366713028,0.023295944779982744
Gemini 3.6 Flash,10,KuCoin,KUCOIN,Global CEX,Global / offshore,0.008196569309225776,0.01984469370146678
Gemini 3.6 Flash,11,Other (10 exchanges),,,,0.01642095503013444,0.02890422778257118
Grok 4.6,1,Kraken,KRAKEN,US-listed CEX,US regulated,0.40907037565382787,0.32411820781696854
Grok 4.6,2,Coinbase,COINBASE,US-listed CEX,US regulated,0.292867332382311,0.3017159199237369
Grok 4.6,3,Binance,BINANCE,Global CEX,Global / offshore,0.10479077508321445,0.09580552907530981
Grok 4.6,4,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,0.0642415596766524,0.11487130600571974
Grok 4.6,5,Bitcoin Suisse,BTCSUISSE,Swiss bank/broker,Swiss regulated,0.056157869709938184,0.04957102001906578
Grok 4.6,6,Gemini,GEMINI,US-listed CEX,US regulated,0.031122206371849738,0.05052430886558627
Grok 4.6,7,Bybit,BYBIT,Global CEX,Global / offshore,0.016333808844507844,0.020495710200190656
Grok 4.6,8,SwissBorg,SWISSBORG,Swiss bank/broker,Swiss regulated,0.00932001902044698,0.012869399428026692
Grok 4.6,9,OKX,OKX,Global CEX,Global / offshore,0.006395625297194485,0.011916110581506196
Grok 4.6,10,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,0.003756538278649548,0.003336510962821735
Grok 4.6,11,Other (7 exchanges),,,,0.005943889681407513,0.014775977121067686
