model,attribute,value,n_responses,n_products,GI_amount,GI_freq,GI_amount_own,top_token,top_share
Claude Haiku 4.5,budget,100,78,12,0.9356246590289142,0.9063056092843327,0.7478632478632476,Bitcoin,0.44807692307692304
Claude Haiku 4.5,budget,1000,76,10,0.9259518477043673,0.9001524943722315,0.6519736842105263,Bitcoin,0.4065789473684211
Claude Haiku 4.5,budget,10000,74,15,0.9173778033352502,0.8726618242591759,0.7411171171171173,Bitcoin,0.39391891891891895
Claude Haiku 4.5,budget,20000,74,14,0.9211541542519632,0.8753611767796164,0.7353032321315903,Bitcoin,0.3960230034856901
Claude Haiku 4.5,budget,30000,73,16,0.9169863013698631,0.861383615747229,0.7561472602739726,Bitcoin,0.38105022831050234
Claude Haiku 4.5,budget,40000,71,15,0.9079862151633205,0.8522671334026144,0.7116901408450707,Bitcoin,0.3718309859154931
Claude Haiku 4.5,budget,50000,69,13,0.9096145544249152,0.8660182370820668,0.673221850613155,Bitcoin,0.36739130434782613
Claude Haiku 4.5,budget,100000,70,14,0.9173525835866262,0.8710739614994935,0.7225408163265306,Bitcoin,0.3942857142857143
Claude Haiku 4.5,risk,risk-averse,158,13,0.9363140648551083,0.9028943837454476,0.7697508498607765,Bitcoin,0.45679546968687534
Claude Haiku 4.5,risk,risk-neutral,176,13,0.9238118526012559,0.888353280141844,0.7245505440199249,Bitcoin,0.397387311437465
Claude Haiku 4.5,risk,risk-seeking,175,17,0.9017294945092708,0.8443073565823157,0.7283109554079839,Bitcoin,0.3338167695472997
Claude Haiku 4.5,term,less than one year,137,18,0.9093388884774839,0.8574882564244266,0.7632737643578751,Bitcoin,0.38227513985967204
Claude Haiku 4.5,term,one to three years,172,15,0.9184911217464368,0.8700895010450721,0.744605514805502,Bitcoin,0.3927393895672801
Claude Haiku 4.5,term,three to ten years,172,13,0.9237235703096371,0.8805609284332688,0.724231369580996,Bitcoin,0.4048440843242485
Claude Haiku 4.5,environment,crisis,108,17,0.9209456264775416,0.8760120504613067,0.781437908496732,Bitcoin,0.4106481481481482
Claude Haiku 4.5,environment,recession,125,16,0.9206699286956853,0.8758457650607321,0.7669679155435759,Bitcoin,0.4005117699910153
Claude Haiku 4.5,environment,recovery,144,16,0.9189898376608326,0.8690373456330903,0.7620326481286958,Bitcoin,0.38277011659364596
Claude Haiku 4.5,environment,expansion,142,16,0.9160714795791899,0.8656972294504822,0.7534599712638702,Bitcoin,0.3804807306228146
GPT-5.5,budget,100,80,15,0.9186755319148938,0.8731094591130479,0.7451833333333334,Bitcoin,0.444375
GPT-5.5,budget,1000,80,18,0.9099920212765956,0.852407614781635,0.7649791666666667,Bitcoin,0.426875
GPT-5.5,budget,10000,80,22,0.8948297872340426,0.8185738930419781,0.7753181818181819,Bitcoin,0.40625000000000006
GPT-5.5,budget,20000,80,23,0.8935347844344905,0.8151362448674878,0.7824406464530891,Bitcoin,0.4013815789473683
GPT-5.5,budget,30000,80,24,0.8997402482269503,0.8008546247663135,0.8036579861111111,Bitcoin,0.415625
GPT-5.5,budget,40000,80,27,0.8923005319148937,0.7949866482901198,0.8125231481481482,Bitcoin,0.40093750000000006
GPT-5.5,budget,50000,80,28,0.8965984585323491,0.7939412783724958,0.8264331268221572,Bitcoin,0.41250255102040806
GPT-5.5,budget,100000,80,25,0.8934627659574469,0.789598108747045,0.7997099999999998,Bitcoin,0.38937499999999997
GPT-5.5,risk,risk-averse,180,13,0.92804097714736,0.9052602397948576,0.7398404558404557,Bitcoin,0.450111111111111
GPT-5.5,risk,risk-neutral,180,21,0.9179538511227974,0.840302782324059,0.8163729048938799,Bitcoin,0.4215452254976064
GPT-5.5,risk,risk-seeking,180,26,0.8781518768444859,0.7926015135970977,0.7797360850650323,Bitcoin,0.2753589845826688
GPT-5.5,term,less than one year,180,29,0.8722289025001788,0.7978723404255319,0.7929227040520144,Bitcoin,0.30124470899470895
GPT-5.5,term,one to three years,180,23,0.9071769945316045,0.8196334527069729,0.8103182062167569,Bitcoin,0.4235726711560044
GPT-5.5,term,three to ten years,180,24,0.9159208720095248,0.8189116123573478,0.8353450410186523,Bitcoin,0.46556398451636544
GPT-5.5,environment,crisis,144,25,0.9050076222372323,0.8394258601653188,0.8214143298059965,Bitcoin,0.4017554012345679
GPT-5.5,environment,recession,144,23,0.9073359289449714,0.8420037409399111,0.8106429852353766,Bitcoin,0.40810290404040406
GPT-5.5,environment,recovery,144,25,0.9015105408611614,0.8085106382978723,0.8148398168189833,Bitcoin,0.39648153158569827
GPT-5.5,environment,expansion,144,24,0.896448085421933,0.806491005589216,0.7972108339512854,Bitcoin,0.3757951539201539
