model,product,code,category,tier,n_mentions,n_responses,amount_share,freq_share
Claude Haiku 4.5,Bitcoin,BTC,Store of Value (PoW),Blue chip,644,644,0.39632264859362987,0.21972023200272944
Claude Haiku 4.5,Ethereum,ETH,Smart-Contract L1,Blue chip,644,644,0.3067594633153492,0.21972023200272944
Claude Haiku 4.5,Polkadot,DOT,Smart-Contract L1,Large-cap alt,439,439,0.07044176173329138,0.1497782326850904
Claude Haiku 4.5,Solana,SOL,Smart-Contract L1,Large-cap alt,434,434,0.09675940313973971,0.14807233026270897
Claude Haiku 4.5,Chainlink,LINK,AI & Infrastructure,Small-cap alt,250,250,0.029065023468792164,0.08529512111907199
Claude Haiku 4.5,Stablecoin (unspecified),STABLE,Stablecoin,Stable,162,162,0.05671399865660257,0.05527123848515865
Claude Haiku 4.5,Cardano,ADA,Smart-Contract L1,Large-cap alt,96,96,0.011805809280233833,0.032753326509723645
Claude Haiku 4.5,Polygon,POL,Layer 2 & Scaling,Small-cap alt,77,77,0.011267639717656205,0.026270897304674173
Claude Haiku 4.5,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,58,58,0.006748945381679718,0.0197884680996247
Claude Haiku 4.5,Arbitrum,ARB,Layer 2 & Scaling,Small-cap alt,30,30,0.002900907304440783,0.01023541453428864
Claude Haiku 4.5,Uniswap,UNI,DeFi,Small-cap alt,25,25,0.0021795509534226387,0.008529512111907198
Claude Haiku 4.5,Optimism,OP,Layer 2 & Scaling,Small-cap alt,22,22,0.0016944537316241294,0.007505970658478335
Claude Haiku 4.5,XRP,XRP,Payments,Large-cap alt,20,20,0.0017417184265010352,0.006823609689525759
Claude Haiku 4.5,USD Coin,USDC,Stablecoin,Stable,8,8,0.002251552795031056,0.002729443875810304
Claude Haiku 4.5,Monero,XMR,Store of Value (PoW),Blue chip,7,7,0.0015675835551611948,0.002388263391334016
Claude Haiku 4.5,Litecoin,LTC,Payments,Large-cap alt,6,6,0.0005745341614906833,0.0020470829068577278
Claude Haiku 4.5,Tether,USDT,Stablecoin,Stable,5,5,0.0010093167701863354,0.0017059024223814397
Claude Haiku 4.5,Cosmos,ATOM,Smart-Contract L1,Large-cap alt,2,2,9.956360848311739e-05,0.000682360968952576
Claude Haiku 4.5,Dogecoin,DOGE,Meme,Meme,2,2,9.61254066844129e-05,0.000682360968952576
GPT-5.5,Bitcoin,BTC,Store of Value (PoW),Blue chip,707,707,0.4008880001393099,0.17587064676616915
GPT-5.5,Ethereum,ETH,Smart-Contract L1,Blue chip,701,701,0.24627443738795657,0.17437810945273632
GPT-5.5,Chainlink,LINK,AI & Infrastructure,Small-cap alt,514,514,0.056600135090781045,0.12786069651741294
GPT-5.5,Solana,SOL,Smart-Contract L1,Large-cap alt,505,505,0.08612286681879998,0.1256218905472637
GPT-5.5,USD Coin,USDC,Stablecoin,Stable,300,300,0.089195642095503,0.07462686567164178
GPT-5.5,Aave,AAVE,DeFi,Small-cap alt,238,238,0.016318921004260918,0.059203980099502486
GPT-5.5,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,200,200,0.017706440522852206,0.04975124378109453
GPT-5.5,Render,RENDER,AI & Infrastructure,Small-cap alt,192,192,0.016981774884380844,0.04776119402985075
GPT-5.5,Arbitrum,ARB,Layer 2 & Scaling,Small-cap alt,165,165,0.009910309131449605,0.041044776119402986
GPT-5.5,Uniswap,UNI,DeFi,Small-cap alt,88,88,0.003712467412050166,0.021890547263681594
GPT-5.5,PAX Gold,PAXG,RWA & Tokenized,Stable,76,76,0.01796360686138155,0.01890547263681592
GPT-5.5,Polygon,POL,Layer 2 & Scaling,Small-cap alt,67,67,0.0038448620059985056,0.016666666666666666
GPT-5.5,Injective,INJ,Smart-Contract L1,Large-cap alt,33,33,0.0022756172895254953,0.008208955223880597
GPT-5.5,Ondo Finance,ONDO,RWA & Tokenized,Stable,33,33,0.0015359546715230778,0.008208955223880597
GPT-5.5,BNB,BNB,Exchange & Platform,Large-cap alt,29,29,0.002587091860388105,0.007213930348258706
GPT-5.5,Celestia,TIA,AI & Infrastructure,Small-cap alt,29,29,0.00140630926792262,0.007213930348258706
GPT-5.5,NEAR Protocol,NEAR,Smart-Contract L1,Large-cap alt,28,28,0.0022843525659937344,0.006965174129353234
GPT-5.5,Sui,SUI,Smart-Contract L1,Large-cap alt,22,22,0.00164957347429348,0.005472636815920398
GPT-5.5,CryptoFranc,XCHF,Stablecoin,Stable,21,21,0.016133518776077885,0.0052238805970149255
GPT-5.5,Optimism,OP,Layer 2 & Scaling,Small-cap alt,20,20,0.0008567946502577935,0.004975124378109453
GPT-5.5,Pendle,PENDLE,DeFi,Small-cap alt,8,8,0.0002675222320563072,0.001990049751243781
GPT-5.5,Cosmos,ATOM,Smart-Contract L1,Large-cap alt,6,6,0.0001696028434554165,0.0014925373134328358
GPT-5.5,Dai,DAI,Stablecoin,Stable,6,6,0.00152990264255911,0.0014925373134328358
GPT-5.5,Euro Coin,EURC,Stablecoin,Stable,5,5,0.0009561891515994437,0.0012437810945273632
GPT-5.5,Polkadot,DOT,Smart-Contract L1,Large-cap alt,4,4,0.00017385257301808066,0.0009950248756218905
GPT-5.5,Tether,USDT,Stablecoin,Stable,4,4,0.0009272137227630969,0.0009950248756218905
GPT-5.5,Bittensor,TAO,AI & Infrastructure,Small-cap alt,3,3,0.0002086230876216968,0.0007462686567164179
GPT-5.5,Dogecoin,DOGE,Meme,Meme,3,3,0.00016689847009735746,0.0007462686567164179
GPT-5.5,Immutable,IMX,Layer 2 & Scaling,Small-cap alt,3,3,0.00012169680111265646,0.0007462686567164179
GPT-5.5,Maker,MKR,DeFi,Small-cap alt,3,3,0.00016816285244657984,0.0007462686567164179
GPT-5.5,PayPal USD,PYUSD,Stablecoin,Stable,2,2,0.0004172461752433936,0.0004975124378109452
GPT-5.5,Toncoin,TON,Smart-Contract L1,Large-cap alt,2,2,0.000152990264255911,0.0004975124378109452
GPT-5.5,Cardano,ADA,Smart-Contract L1,Large-cap alt,1,1,4.636068613815484e-05,0.0002487562189054726
GPT-5.5,Lido DAO,LDO,DeFi,Small-cap alt,1,1,2.7816411682892907e-05,0.0002487562189054726
GPT-5.5,VNX Swiss Franc,VCHF,Stablecoin,Stable,1,1,0.0004172461752433936,0.0002487562189054726
Gemini 3.6 Flash,Ethereum,ETH,Smart-Contract L1,Blue chip,672,672,0.23867640241075566,0.20676923076923076
Gemini 3.6 Flash,Bitcoin,BTC,Store of Value (PoW),Blue chip,658,658,0.38492814093648586,0.20246153846153847
Gemini 3.6 Flash,Solana,SOL,Smart-Contract L1,Large-cap alt,511,511,0.13059573481687528,0.15723076923076923
Gemini 3.6 Flash,Chainlink,LINK,AI & Infrastructure,Small-cap alt,339,339,0.038325220213259154,0.10430769230769231
Gemini 3.6 Flash,USD Coin,USDC,Stablecoin,Stable,238,238,0.0883541956420955,0.07323076923076922
Gemini 3.6 Flash,Render,RENDER,AI & Infrastructure,Small-cap alt,196,196,0.02947264719517849,0.060307692307692305
Gemini 3.6 Flash,Sui,SUI,Smart-Contract L1,Large-cap alt,141,141,0.026385025498377377,0.04338461538461538
Gemini 3.6 Flash,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,135,135,0.011345618915159946,0.04153846153846154
Gemini 3.6 Flash,NEAR Protocol,NEAR,Smart-Contract L1,Large-cap alt,87,87,0.011055864626796476,0.02676923076923077
Gemini 3.6 Flash,Pepe,PEPE,Meme,Meme,87,87,0.011117292535929532,0.02676923076923077
Gemini 3.6 Flash,Bittensor,TAO,AI & Infrastructure,Small-cap alt,47,47,0.007331942512749189,0.014461538461538461
Gemini 3.6 Flash,PAX Gold,PAXG,RWA & Tokenized,Stable,36,36,0.00855354659248957,0.011076923076923076
Gemini 3.6 Flash,dogwifhat,WIF,Meme,Meme,24,24,0.0033773759851645807,0.0073846153846153844
Gemini 3.6 Flash,Tether,USDT,Stablecoin,Stable,17,17,0.005389429763560501,0.005230769230769231
Gemini 3.6 Flash,Polygon,POL,Layer 2 & Scaling,Small-cap alt,12,12,0.0007927677329624477,0.0036923076923076922
Gemini 3.6 Flash,Injective,INJ,Smart-Contract L1,Large-cap alt,11,11,0.0009735744089012518,0.003384615384615385
Gemini 3.6 Flash,Cardano,ADA,Smart-Contract L1,Large-cap alt,9,9,0.0004728789986091794,0.002769230769230769
Gemini 3.6 Flash,Fetch.ai,FET,AI & Infrastructure,Small-cap alt,8,8,0.0009689383402874364,0.0024615384615384616
Gemini 3.6 Flash,Uniswap,UNI,DeFi,Small-cap alt,6,6,0.00037088548910523873,0.0018461538461538461
Gemini 3.6 Flash,Aave,AAVE,DeFi,Small-cap alt,5,5,0.00031988873435326846,0.0015384615384615385
Gemini 3.6 Flash,Arbitrum,ARB,Layer 2 & Scaling,Small-cap alt,2,2,0.00015646731571627263,0.0006153846153846154
Gemini 3.6 Flash,BNB,BNB,Exchange & Platform,Large-cap alt,2,2,0.0002086230876216968,0.0006153846153846154
Gemini 3.6 Flash,Ondo Finance,ONDO,RWA & Tokenized,Stable,2,2,0.0002781641168289291,0.0006153846153846154
Gemini 3.6 Flash,Dogecoin,DOGE,Meme,Meme,1,1,0.00013908205841446454,0.0003076923076923077
Gemini 3.6 Flash,Jupiter,JUP,DeFi,Small-cap alt,1,1,0.00013908205841446454,0.0003076923076923077
Gemini 3.6 Flash,Kaspa,KAS,Store of Value (PoW),Blue chip,1,1,0.0001043115438108484,0.0003076923076923077
Gemini 3.6 Flash,Pendle,PENDLE,DeFi,Small-cap alt,1,1,0.00013908205841446457,0.0003076923076923077
Gemini 3.6 Flash,Polkadot,DOT,Smart-Contract L1,Large-cap alt,1,1,2.7816411682892904e-05,0.0003076923076923077
Grok 4.6,Bitcoin,BTC,Store of Value (PoW),Blue chip,463,463,0.47825641025641025,0.30723291307232914
Grok 4.6,Ethereum,ETH,Smart-Contract L1,Blue chip,459,459,0.26291346153846157,0.3045786330457863
Grok 4.6,Solana,SOL,Smart-Contract L1,Large-cap alt,259,259,0.1106923076923077,0.17186463171864633
Grok 4.6,USD Coin,USDC,Stablecoin,Stable,86,86,0.08221153846153846,0.05706702057067021
Grok 4.6,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,74,74,0.017849358974358975,0.0491041804910418
Grok 4.6,Chainlink,LINK,AI & Infrastructure,Small-cap alt,57,57,0.010955128205128206,0.0378234903782349
Grok 4.6,Tether,USDT,Stablecoin,Stable,23,23,0.012676282051282052,0.015262110152621102
Grok 4.6,Sui,SUI,Smart-Contract L1,Large-cap alt,17,17,0.004644230769230769,0.0112806901128069
Grok 4.6,Dogecoin,DOGE,Meme,Meme,12,12,0.0037500000000000003,0.007962840079628402
Grok 4.6,Cardano,ADA,Smart-Contract L1,Large-cap alt,11,11,0.0019711538461538464,0.0072992700729927005
Grok 4.6,Pepe,PEPE,Meme,Meme,10,10,0.004288461538461539,0.006635700066357001
Grok 4.6,Render,RENDER,AI & Infrastructure,Small-cap alt,7,7,0.0014807692307692308,0.0046449900464499
Grok 4.6,Polkadot,DOT,Smart-Contract L1,Large-cap alt,6,6,0.0010352564102564102,0.003981420039814201
Grok 4.6,BNB,BNB,Exchange & Platform,Large-cap alt,4,4,0.0006730769230769232,0.0026542800265428003
Grok 4.6,dogwifhat,WIF,Meme,Meme,4,4,0.0019230769230769232,0.0026542800265428003
Grok 4.6,Injective,INJ,Smart-Contract L1,Large-cap alt,3,3,0.0005769230769230769,0.0019907100199071004
Grok 4.6,Bonk,BONK,Meme,Meme,2,2,0.0007692307692307692,0.0013271400132714001
Grok 4.6,Dai,DAI,Stablecoin,Stable,2,2,0.0009615384615384616,0.0013271400132714001
Grok 4.6,Aptos,APT,Smart-Contract L1,Large-cap alt,1,1,0.0003846153846153846,0.0006635700066357001
Grok 4.6,Celestia,TIA,AI & Infrastructure,Small-cap alt,1,1,0.0001282051282051282,0.0006635700066357001
Grok 4.6,Cosmos,ATOM,Smart-Contract L1,Large-cap alt,1,1,0.0001923076923076923,0.0006635700066357001
Grok 4.6,Fetch.ai,FET,AI & Infrastructure,Small-cap alt,1,1,0.0001923076923076923,0.0006635700066357001
Grok 4.6,Jupiter,JUP,DeFi,Small-cap alt,1,1,0.0001282051282051282,0.0006635700066357001
Grok 4.6,PAX Gold,PAXG,RWA & Tokenized,Stable,1,1,0.0009615384615384616,0.0006635700066357001
Grok 4.6,Polygon,POL,Layer 2 & Scaling,Small-cap alt,1,1,0.0001923076923076923,0.0006635700066357001
Grok 4.6,Shiba Inu,SHIB,Meme,Meme,1,1,0.0001923076923076923,0.0006635700066357001
