response_id,response_uid,model,condition,status,n_products,n_chars,n_unparsed_amounts,n_ranges,n_loose_amounts,mixed_units,amount_kind,unit_basis,pct_sum,budget_chf,amount_sum_chf,written_currency,non_chf_currency,flat_full_budget,budget_utilisation
0,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|1,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,64,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|2,Claude Haiku 4.5,tokens-general-budget_environment,valid,2,32,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
2,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|3,Claude Haiku 4.5,tokens-general-budget_environment,valid,3,63,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
3,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|4,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,64,0,0,0,False,currency,prompt,,100.0,100.0,CHF,False,False,1.0
4,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|6,Claude Haiku 4.5,tokens-general-budget_environment,valid,3,66,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
5,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|8,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,68,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
6,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|7,Claude Haiku 4.5,tokens-general-budget_environment,valid,3,66,0,0,0,False,currency,prompt,,1000.0,1000.0,CHF,False,False,1.0
7,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|11,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,92,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
8,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|9,Claude Haiku 4.5,tokens-general-budget_environment,valid,5,95,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
9,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|10,Claude Haiku 4.5,tokens-general-budget_environment,refusal,0,396,0,0,0,False,none,none,,10000.0,,,False,False,
10,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|13,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,76,0,0,0,False,currency,prompt,,20000.0,20000.0,CHF,False,False,1.0
11,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|15,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,92,0,0,0,False,currency,prompt,,20000.0,20000.0,CHF,False,False,1.0
12,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|16,Claude Haiku 4.5,tokens-general-budget_environment,valid,4,76,0,0,0,False,currency,prompt,,20000.0,20000.0,CHF,False,False,1.0
13,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|12,Claude Haiku 4.5,tokens-general-budget_environment,valid,5,93,0,0,0,False,currency,prompt,,10000.0,10000.0,CHF,False,False,1.0
