model,attribute,value,n_responses,amount_Stable,freq_Stable,amount_Blue chip,freq_Blue chip,amount_Large-cap alt,freq_Large-cap alt,amount_Small-cap alt,freq_Small-cap alt,amount_Meme,freq_Meme
Claude Haiku 4.5,budget,100,78,0.02820512820512821,0.03636363636363636,0.7967948717948717,0.5709090909090909,0.1596153846153846,0.3490909090909091,0.015384615384615384,0.04363636363636364,0.0,0.0
Claude Haiku 4.5,budget,1000,76,0.05921052631578947,0.06143344709897611,0.7118421052631579,0.5187713310580204,0.20592105263157895,0.36177474402730375,0.023026315789473683,0.05802047781569966,0.0,0.0
Claude Haiku 4.5,budget,10000,74,0.06756756756756757,0.07854984894259819,0.7027027027027027,0.45317220543806647,0.18972972972972973,0.3504531722054381,0.04,0.11782477341389729,0.0,0.0
Claude Haiku 4.5,budget,20000,74,0.050665590964098416,0.05246913580246913,0.7190590705516078,0.4567901234567901,0.1910341742431294,0.37962962962962965,0.03924116424116423,0.1111111111111111,0.0,0.0
Claude Haiku 4.5,budget,30000,73,0.08356164383561643,0.0718562874251497,0.699771689497717,0.44011976047904194,0.16694063926940642,0.31736526946107785,0.04926940639269407,0.16766467065868262,0.00045662100456621014,0.0029940119760479044
Claude Haiku 4.5,budget,40000,71,0.060563380281690136,0.04627249357326478,0.6563380281690141,0.3676092544987147,0.216056338028169,0.4087403598971722,0.06704225352112676,0.17737789203084833,0.0,0.0
Claude Haiku 4.5,budget,50000,69,0.07246376811594203,0.06285714285714286,0.647536231884058,0.3942857142857143,0.21231884057971015,0.3657142857142857,0.06768115942028985,0.17714285714285713,0.0,0.0
Claude Haiku 4.5,budget,100000,70,0.05285714285714286,0.05654761904761905,0.6971428571428571,0.4166666666666667,0.19135714285714286,0.375,0.05864285714285715,0.15178571428571427,0.0,0.0
Claude Haiku 4.5,risk,risk-averse,158,0.12473351099267156,0.16396396396396395,0.7773761936486786,0.5711711711711712,0.09042194092827005,0.23063063063063063,0.007468354430379747,0.03423423423423423,0.0,0.0
Claude Haiku 4.5,risk,risk-neutral,176,0.07196545680687472,0.07291666666666667,0.7171546013249261,0.4583333333333333,0.18467339106606007,0.3841145833333333,0.026206550802139038,0.08463541666666667,0.0,0.0
Claude Haiku 4.5,risk,risk-seeking,175,0.001142857142857143,0.0009861932938856016,0.6096176501860652,0.3510848126232742,0.2720385580004242,0.3895463510848126,0.11684719317405483,0.2564102564102564,0.00035374149659863946,0.0019723865877712033
Claude Haiku 4.5,term,less than one year,137,0.07182833431765491,0.0698051948051948,0.6841487147436082,0.44642857142857145,0.17776990957620656,0.30844155844155846,0.06600973236009731,0.1737012987012987,0.00024330900243309006,0.0016233766233766235
Claude Haiku 4.5,term,one to three years,172,0.0679263565891473,0.0654911838790932,0.6975376424345643,0.4332493702770781,0.18654211692113945,0.3589420654911839,0.04799388405514904,0.14231738035264482,0.0,0.0
Claude Haiku 4.5,term,three to ten years,172,0.03837209302325582,0.04040404040404041,0.7182967659335648,0.43434343434343436,0.2105625416535129,0.42045454545454547,0.03276859938966643,0.10479797979797979,0.0,0.0
