model,rank,product,code,category,tier,amount_share,freq_share
GPT-5.5,1,Bitcoin,BTC,Store of Value (PoW),Blue chip,0.4008880001393099,0.17587064676616915
GPT-5.5,2,Ethereum,ETH,Smart-Contract L1,Blue chip,0.24627443738795657,0.17437810945273632
GPT-5.5,3,USD Coin,USDC,Stablecoin,Stable,0.089195642095503,0.07462686567164178
GPT-5.5,4,Solana,SOL,Smart-Contract L1,Large-cap alt,0.08612286681879998,0.1256218905472637
GPT-5.5,5,Chainlink,LINK,AI & Infrastructure,Small-cap alt,0.056600135090781045,0.12786069651741294
GPT-5.5,6,PAX Gold,PAXG,RWA & Tokenized,Stable,0.01796360686138155,0.01890547263681592
GPT-5.5,7,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,0.017706440522852206,0.04975124378109453
GPT-5.5,8,Render,RENDER,AI & Infrastructure,Small-cap alt,0.016981774884380844,0.04776119402985075
GPT-5.5,9,Aave,AAVE,DeFi,Small-cap alt,0.016318921004260918,0.059203980099502486
GPT-5.5,10,CryptoFranc,XCHF,Stablecoin,Stable,0.016133518776077885,0.0052238805970149255
GPT-5.5,11,Other (25 tokens),,,,0.03581465641869608,0.1407960199004975
Claude Haiku 4.5,1,Bitcoin,BTC,Store of Value (PoW),Blue chip,0.39632264859362987,0.21972023200272944
Claude Haiku 4.5,2,Ethereum,ETH,Smart-Contract L1,Blue chip,0.3067594633153492,0.21972023200272944
Claude Haiku 4.5,3,Solana,SOL,Smart-Contract L1,Large-cap alt,0.09675940313973971,0.14807233026270897
Claude Haiku 4.5,4,Polkadot,DOT,Smart-Contract L1,Large-cap alt,0.07044176173329138,0.1497782326850904
Claude Haiku 4.5,5,Stablecoin (unspecified),STABLE,Stablecoin,Stable,0.05671399865660257,0.05527123848515865
Claude Haiku 4.5,6,Chainlink,LINK,AI & Infrastructure,Small-cap alt,0.029065023468792164,0.08529512111907199
Claude Haiku 4.5,7,Cardano,ADA,Smart-Contract L1,Large-cap alt,0.011805809280233833,0.032753326509723645
Claude Haiku 4.5,8,Polygon,POL,Layer 2 & Scaling,Small-cap alt,0.011267639717656205,0.026270897304674173
Claude Haiku 4.5,9,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,0.006748945381679718,0.0197884680996247
Claude Haiku 4.5,10,Arbitrum,ARB,Layer 2 & Scaling,Small-cap alt,0.002900907304440783,0.01023541453428864
Claude Haiku 4.5,11,Other (9 tokens),,,,0.011214399408584604,0.03309450699419993
Gemini 3.6 Flash,1,Bitcoin,BTC,Store of Value (PoW),Blue chip,0.38492814093648586,0.20246153846153847
Gemini 3.6 Flash,2,Ethereum,ETH,Smart-Contract L1,Blue chip,0.23867640241075566,0.20676923076923076
Gemini 3.6 Flash,3,Solana,SOL,Smart-Contract L1,Large-cap alt,0.13059573481687528,0.15723076923076923
Gemini 3.6 Flash,4,USD Coin,USDC,Stablecoin,Stable,0.0883541956420955,0.07323076923076922
Gemini 3.6 Flash,5,Chainlink,LINK,AI & Infrastructure,Small-cap alt,0.038325220213259154,0.10430769230769231
Gemini 3.6 Flash,6,Render,RENDER,AI & Infrastructure,Small-cap alt,0.02947264719517849,0.060307692307692305
Gemini 3.6 Flash,7,Sui,SUI,Smart-Contract L1,Large-cap alt,0.026385025498377377,0.04338461538461538
Gemini 3.6 Flash,8,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,0.011345618915159946,0.04153846153846154
Gemini 3.6 Flash,9,Pepe,PEPE,Meme,Meme,0.011117292535929532,0.02676923076923077
Gemini 3.6 Flash,10,NEAR Protocol,NEAR,Smart-Contract L1,Large-cap alt,0.011055864626796476,0.02676923076923077
Gemini 3.6 Flash,11,Other (18 tokens),,,,0.029743857209086694,0.05723076923076923
Grok 4.6,1,Bitcoin,BTC,Store of Value (PoW),Blue chip,0.47825641025641025,0.30723291307232914
Grok 4.6,2,Ethereum,ETH,Smart-Contract L1,Blue chip,0.26291346153846157,0.3045786330457863
Grok 4.6,3,Solana,SOL,Smart-Contract L1,Large-cap alt,0.1106923076923077,0.17186463171864633
Grok 4.6,4,USD Coin,USDC,Stablecoin,Stable,0.08221153846153846,0.05706702057067021
Grok 4.6,5,Avalanche,AVAX,Smart-Contract L1,Large-cap alt,0.017849358974358975,0.0491041804910418
Grok 4.6,6,Tether,USDT,Stablecoin,Stable,0.012676282051282052,0.015262110152621102
Grok 4.6,7,Chainlink,LINK,AI & Infrastructure,Small-cap alt,0.010955128205128206,0.0378234903782349
Grok 4.6,8,Sui,SUI,Smart-Contract L1,Large-cap alt,0.004644230769230769,0.0112806901128069
Grok 4.6,9,Pepe,PEPE,Meme,Meme,0.004288461538461539,0.006635700066357001
Grok 4.6,10,Dogecoin,DOGE,Meme,Meme,0.0037500000000000003,0.007962840079628402
Grok 4.6,11,Other (16 tokens),,,,0.011762820512820514,0.031187790311877905
