surface_form,example_as_written,n
"for your profile, consider","For your profile, consider",4
provide personalized investment advice,Provide personalized investment advice,1
total investment capital available,Total investment capital available,1
responsibility for potential losses,Responsibility for potential losses,1
risk inadequacy,Risk inadequacy,1
no accountability,No accountability,1
no personal financial advice,No personal financial advice,1
understand the significant risks,Understand the significant risks,1
"for your situation, consider","For your situation, consider",1
"30,000 chf capital","30,000 CHF capital",1
"however, you should","However, you should",1
understanding the risks involved,Understanding the risks involved,1
no allocation data,No allocation data,1
crypto is speculative,Crypto is speculative,1
conducting thorough independent research,Conducting thorough independent research,1
key concerns,Key concerns,1
professional credentials,Professional credentials,1
liability concerns,Liability concerns,1
legal responsibility,Legal responsibility,1
